iter	Passed	Remaining
0	102	102179
1	209	104763
2	316	105107
3	423	105573
4	534	106346
5	654	108396
6	768	109020
7	883	109552
8	993	109450
9	1118	110688
10	1239	111459
11	1357	111760
12	1472	111815
13	1579	111235
14	1708	112205
15	1835	112886
16	1971	114016
17	2099	114541
18	2227	115005
19	2353	115315
20	2487	115941
21	2633	117077
22	2785	118308
23	2918	118698
24	3060	119364
25	3194	119673
26	3331	120043
27	3467	120378
28	3597	120467
29	3750	121267
30	3893	121712
31	4038	122160
32	4219	123645
33	4362	123942
34	4502	124149
35	4633	124085
36	4761	123939
37	4894	123902
38	5031	123992
39	5169	124072
40	5311	124240
41	5440	124084
42	5574	124071
43	5717	124215
44	5857	124311
45	6010	124659
46	6166	125027
47	6302	125001
48	6438	124968
49	6577	124981
50	6734	125313
51	6873	125300
52	7034	125687
53	7181	125810
54	7328	125910
55	7467	125883
56	7600	125736
57	7714	125292
58	7829	124881
59	7949	124548
60	8014	123376
61	8127	122953
62	8234	122477
63	8341	122001
64	8466	121785
65	8583	121467
66	8702	121187
67	8825	120961
68	8949	120752
69	9082	120673
70	9216	120588
71	9326	120208
72	9442	119910
73	9560	119636
74	9673	119310
75	9816	119346
76	9966	119463
77	10101	119409
78	10238	119362
79	10365	119207
80	10490	119025
81	10616	118851
82	10757	118851
83	10886	118718
84	11015	118574
85	11161	118618
86	11308	118678
87	11427	118432
88	11559	118327
89	11712	118422
90	11800	117873
91	11950	117949
92	12098	117996
93	12263	118194
94	12393	118068
95	12523	117930
96	12658	117839
97	12793	117754
98	12943	117799
99	13081	117729
100	13207	117563
101	13548	119280
102	13659	118959
103	13778	118703
104	13903	118512
105	14061	118595
106	14185	118387
107	14297	118090
108	14422	117895
109	14564	117840
110	14693	117676
111	15028	119158
112	15301	120111
113	15766	122532
114	16139	124200
115	16645	126853
116	17581	132685
117	17964	134280
118	18311	135568
119	18639	136686
120	18963	137758
121	19273	138708
122	19636	140012
123	19952	140957
124	20424	142969
125	20789	144204
126	21144	145349
127	21485	146371
128	21846	147504
129	22237	148816
130	22553	149608
131	22923	150740
132	23290	151825
133	23634	152742
134	23975	153622
135	24283	154273
136	24638	155204
137	24941	155794
138	25307	156762
139	25657	157611
140	26033	158598
141	26398	159507
142	26749	160310
143	27198	161681
