iter	PRAUC:type=Classic	Logloss
141	0.6346837841	0.6564918157
142	0.6348283797	0.6564170044
143	0.6349801958	0.6563387767
144	0.6352752431	0.6562714427
145	0.6355065791	0.6561958325
146	0.6357278943	0.65614424
147	0.6361021212	0.6560308347
148	0.6362213819	0.6559705283
149	0.6363712353	0.6559063744
150	0.6365356449	0.6558233551
151	0.636581714	0.6557685148
152	0.6366442263	0.6556953642
153	0.6367647516	0.6556210689
154	0.6368362276	0.6555458664
155	0.6368659353	0.6554841162
156	0.6369845574	0.6554216326
157	0.6370152292	0.6553607495
158	0.6370979444	0.655297184
159	0.6371530811	0.6552321277
160	0.6372415247	0.6551738333
161	0.6374547287	0.6551036749
162	0.6375179664	0.6550429199
163	0.6375659079	0.654987756
164	0.637639399	0.6549291039
165	0.6376998495	0.6548876266
166	0.6378352782	0.6548305024
167	0.6378543473	0.6547677769
168	0.637935221	0.6547356107
169	0.6380336529	0.6546750703
170	0.6382405239	0.6546160133
171	0.6383485621	0.6545647013
172	0.6384243961	0.6544994579
173	0.6385191212	0.6544395534
174	0.6386072146	0.6543926367
175	0.638653968	0.6543567686
176	0.6387745024	0.654293373
177	0.6388969383	0.6542405727
178	0.639205271	0.65411151
179	0.6393279833	0.6540348745
180	0.6393787988	0.653969013
181	0.6395316624	0.65388918
182	0.6396652348	0.6538415572
183	0.6397567741	0.6537768238
184	0.6398631866	0.6537275715
185	0.6400358836	0.6536640612
186	0.6400906212	0.653619362
187	0.6401807045	0.6535718586
188	0.6402319876	0.6535259331
189	0.6402974792	0.6534845448
190	0.6403828144	0.6534112301
191	0.6404373433	0.6533650966
192	0.6405924516	0.6533056514
193	0.640648251	0.653268311
194	0.6407293602	0.6532017114
195	0.6408321997	0.6531433787
196	0.6408733748	0.6530930568
197	0.6409567803	0.6530309864
198	0.6410515725	0.6530001516
199	0.641361191	0.6529089222
200	0.6413970862	0.6528562624
201	0.6415256623	0.6528077352
202	0.6415906483	0.6527453807
203	0.6416674948	0.6526733538
204	0.6417422878	0.6526132097
205	0.641863604	0.6525601655
206	0.6421048419	0.6524976933
207	0.6421443235	0.6524394363
208	0.6421701231	0.6523801022
209	0.6422667128	0.6523160007
210	0.6423997828	0.6522645921
211	0.6424799985	0.6522045575
212	0.6426202307	0.6521603
213	0.642661994	0.652080434
214	0.6427361043	0.6519900975
215	0.642755488	0.651974143
216	0.6427949019	0.651956453
217	0.6428505819	0.6519106898
218	0.6431433548	0.651837226
219	0.6433291223	0.6517867314
220	0.6433951246	0.6517521022
221	0.6434480761	0.6517235425
222	0.6436724769	0.6516632788
223	0.643776228	0.6516192423
224	0.6438040972	0.6515975471
225	0.6438300965	0.6515810211
226	0.6439277613	0.6515166483
227	0.6439706985	0.6514892137
228	0.6440218469	0.6514316171
229	0.6440784777	0.6513812361
230	0.6441825276	0.6513352078
231	0.6443062782	0.6512925513
232	0.6443843285	0.6512573634
233	0.6444126789	0.6512032058
234	0.6447262563	0.6511307706
235	0.6448793813	0.6510601577
236	0.6449338493	0.6510174459
237	0.6450980134	0.6509702966
238	0.6451335686	0.6509153763
239	0.6452824887	0.6508578364
240	0.6453980072	0.6508106789
241	0.6454767773	0.6507730844
242	0.6455736633	0.6507286816
243	0.645646822	0.6506876703
244	0.6457893342	0.6506367875
245	0.6459212136	0.6505884223
