iter	Passed	Remaining
401	23186	34491
402	23239	34426
403	23297	34369
404	23352	34307
405	23407	34246
406	23453	34171
407	23506	34107
408	23560	34044
409	23616	33985
410	23668	33919
411	23721	33855
412	23771	33786
413	23832	33733
414	23886	33672
415	23942	33611
416	23994	33546
417	24048	33483
418	24092	33407
419	24146	33345
420	24201	33284
421	24258	33225
422	24312	33163
423	24366	33101
424	24422	33041
425	24477	32981
426	24536	32926
427	24595	32870
428	24652	32812
429	24709	32754
430	24766	32696
431	24824	32639
432	24879	32579
433	24935	32520
434	24989	32458
435	25039	32390
436	25086	32320
437	25139	32256
438	25195	32197
439	25242	32126
440	25298	32068
441	25345	31997
442	25388	31922
443	25445	31863
444	25499	31802
445	25556	31744
446	25613	31687
447	25665	31623
448	25717	31560
449	25772	31500
450	25830	31443
451	25889	31388
452	25943	31326
453	25997	31265
454	26044	31196
455	26092	31127
456	26142	31062
457	26190	30993
458	26243	30931
459	26295	30868
460	26358	30818
461	26412	30757
462	26465	30695
463	26518	30633
464	26570	30570
465	26630	30515
466	26685	30456
467	26740	30397
468	26796	30339
469	26846	30273
470	26901	30214
471	26954	30152
472	27006	30090
473	27061	30029
474	27107	29960
475	27166	29905
476	27220	29845
477	27275	29785
478	27327	29724
479	27386	29668
480	27438	29606
481	27497	29551
482	27557	29497
483	27608	29433
484	27667	29378
485	27722	29319
486	27779	29263
487	27835	29203
488	27896	29151
489	27955	29096
490	28017	29044
491	28075	28988
492	28136	28935
493	28193	28878
494	28254	28825
495	28312	28769
496	28380	28722
497	28435	28663
498	28496	28610
499	28543	28543
500	28598	28484
501	28655	28427
502	28712	28369
503	28757	28301
504	28807	28236
505	28862	28177
506	28917	28118
507	28971	28059
508	29022	27996
509	29081	27941
510	29144	27890
511	29198	27829
512	29253	27770
513	29307	27711
514	29362	27652
515	29420	27595
516	29476	27537
517	29538	27485
518	29600	27432
519	29664	27382
520	29723	27327
521	29781	27270
522	29841	27216
523	29899	27160
524	29957	27104
525	30013	27046
526	30071	26990
527	30128	26932
528	30185	26875
529	30243	26819
530	30297	26760
531	30351	26699
532	30417	26651
533	30474	26594
534	30529	26534
535	30580	26472
536	30632	26411
537	30684	26349
538	30736	26288
539	30791	26229
540	30845	26170
541	30902	26113
542	30957	26054
543	31011	25994
544	31065	25935
545	31120	25876
546	31178	25820
547	31235	25763
548	31294	25708
549	31365	25663
550	31430	25611
551	31490	25557
552	31550	25502
553	31612	25449
554	31685	25405
555	31785	25382
556	31866	25344
557	31941	25301
558	32029	25268
559	32100	25222
560	32162	25168
561	32233	25121
562	32311	25079
563	32388	25038
564	32463	24994
565	32547	24957
566	32613	24905
567	32687	24860
568	32757	24812
569	32836	24771
570	32938	24746
571	33026	24712
572	33105	24670
573	33240	24669
574	33350	24650
575	33440	24615
576	33526	24578
577	33619	24546
578	33678	24488
579	33781	24462
580	33915	24458
581	34036	24445
582	34145	24423
583	34226	24380
584	34304	24335
585	34392	24297
586	34469	24252
587	34563	24217
588	34649	24178
589	34737	24139
590	34845	24115
591	34936	24078
592	35143	24120
593	35252	24095
594	35339	24054
595	35423	24011
596	35510	23971
597	35586	23922
598	35644	23862
599	35741	23827
600	35831	23788
601	35908	23740
602	35967	23680
603	36025	23619
604	36115	23579
605	36180	23523
606	36260	23476
607	36332	23424
608	36389	23363
609	36444	23300
610	36507	23243
611	36569	23184
612	36648	23137
613	36703	23074
614	36762	23013
615	36830	22959
616	36892	22900
617	36968	22851
618	37053	22806
619	37135	22760
620	37204	22705
621	37321	22680
622	37433	22652
623	37509	22601
624	37582	22549
625	37670	22505
626	37759	22462
627	37845	22417
628	37907	22358
629	37985	22308
630	38051	22252
631	38132	22203
632	38206	22151
633	38276	22096
634	38349	22043
635	38418	21987
636	38471	21923
637	38539	21867
638	38593	21803
639	38650	21740
640	38720	21685
641	38773	21621
642	38837	21562
643	38897	21502
644	38954	21440
645	39006	21375
646	39069	21316
647	39130	21255
648	39189	21195
649	39256	21138
650	39315	21076
651	39382	21020
652	39443	20959
653	39510	20903
654	39565	20840
655	39626	20779
656	39685	20718
657	39740	20655
658	39793	20591
659	39844	20526
660	39898	20462
661	39953	20399
662	40009	20336
663	40062	20272
664	40119	20210
665	40171	20146
666	40222	20081
667	40277	20018
668	40330	19954
669	40384	19890
670	40441	19829
671	40489	19762
672	40536	19696
673	40587	19631
674	40641	19567
675	40693	19504
676	40738	19436
677	40784	19369
678	40839	19307
679	40890	19242
680	40944	19179
681	41003	19118
682	41057	19055
683	41112	18993
684	41164	18929
685	41216	18865
686	41269	18802
687	41322	18739
688	41372	18674
689	41415	18607
690	41467	18543
691	41521	18480
692	41572	18416
693	41622	18352
694	41673	18288
695	41724	18224
696	41780	18162
697	41831	18099
698	41882	18035
699	41936	17972
700	41985	17908
701	42038	17845
702	42083	17779
703	42135	17715
704	42189	17653
705	42241	17590
706	42289	17525
707	42341	17462
708	42396	17400
709	42450	17338
710	42497	17273
711	42550	17211
712	42594	17145
713	42642	17081
714	42695	17018
715	42746	16955
716	42802	16894
717	42861	16834
718	42913	16771
719	42967	16709
720	43024	16648
721	43076	16586
722	43130	16524
723	43183	16462
724	43233	16398
725	43285	16336
726	43339	16274
727	43395	16213
728	43438	16147
729	43486	16084
730	43538	16021
731	43592	15960
732	43639	15896
733	43684	15831
734	43736	15768
735	43790	15707
736	43846	15646
737	43899	15585
738	43950	15522
739	44000	15459
740	44059	15399
741	44111	15338
742	44156	15273
743	44212	15212
744	44287	15158
745	44349	15100
746	44409	15040
747	44481	14985
748	44551	14929
749	44618	14872
750	44688	14816
751	44750	14758
752	44814	14700
753	44910	14652
754	45042	14616
755	45138	14568
756	45237	14521
757	45338	14474
758	45426	14423
759	45499	14368
760	45577	14314
761	45637	14254
762	45705	14196
763	45783	14142
764	45863	14088
765	45957	14039
766	46046	13988
767	46128	13934
768	46248	13892
769	46333	13839
770	46412	13785
771	46473	13725
772	46551	13670
773	46602	13607
774	46665	13547
775	46709	13483
776	46769	13422
777	46840	13365
778	46901	13305
779	46981	13251
780	47055	13194
781	47123	13136
782	47202	13081
783	47278	13025
784	47351	12968
785	47416	12909
786	47487	12852
787	47556	12794
788	47622	12735
789	47695	12678
790	47759	12619
791	47825	12560
792	47891	12501
793	47959	12442
794	48023	12383
795	48092	12325
796	48157	12266
797	48243	12211
798	48311	12153
799	48382	12095
800	48462	12040
801	48534	11982
802	48604	11924
803	48666	11863
804	48745	11807
805	48810	11748
806	48884	11690
807	48952	11632
808	49030	11575
809	49096	11516
810	49168	11458
811	49227	11397
812	49294	11338
813	49359	11278
814	49427	11219
815	49505	11162
816	49572	11103
817	49638	11044
818	49705	10985
819	49777	10926
820	49837	10865
821	49906	10807
822	49979	10748
823	50045	10689
824	50120	10631
825	50183	10571
826	50242	10510
827	50326	10454
828	50410	10398
829	50494	10342
830	50580	10286
831	50659	10229
832	50715	10167
833	50761	10103
834	50823	10042
835	50878	9980
836	50961	9924
837	51042	9867
838	51135	9812
839	51207	9753
840	51276	9694
841	51339	9633
842	51412	9575
843	51471	9513
844	51536	9453
845	51638	9399
846	51704	9339
847	51788	9282
848	51876	9226
849	51932	9164
850	51999	9104
851	52067	9044
852	52140	8985
853	52221	8927
854	52303	8870
855	52378	8811
856	52460	8753
857	52521	8692
858	52581	8630
859	52644	8570
860	52714	8510
861	52766	8447
862	52825	8385
863	52931	8331
864	53013	8273
865	53072	8212
866	53132	8150
867	53199	8090
868	53257	8028
869	53314	7966
870	53370	7904
871	53431	7843
872	53499	7782
873	53545	7719
874	53598	7656
875	53643	7593
876	53698	7531
877	53752	7469
878	53806	7406
879	53854	7343
880	53910	7281
881	53962	7219
882	54019	7157
883	54073	7095
884	54126	7033
885	54173	6970
886	54220	6907
887	54275	6845
888	54327	6783
889	54380	6721
890	54434	6659
891	54486	6597
892	54539	6534
893	54594	6473
894	54638	6410
895	54693	6348
896	54750	6286
897	54807	6225
898	54853	6162
899	54899	6099
900	54950	6037
901	55008	5976
902	55068	5915
903	55137	5855
904	55185	5792
905	55239	5731
906	55294	5669
907	55340	5607
908	55387	5544
909	55442	5483
910	55492	5421
911	55547	5359
912	55605	5298
913	55654	5236
914	55707	5174
915	55758	5113
916	55803	5050
917	55851	4988
918	55906	4927
919	55963	4866
920	56013	4804
921	56069	4743
922	56114	4681
923	56164	4619
924	56220	4558
925	56268	4496
926	56322	4435
927	56376	4374
928	56428	4312
929	56484	4251
930	56541	4190
931	56602	4129
932	56655	4068
933	56701	4006
934	56757	3945
935	56811	3884
936	56871	3823
937	56932	3763
938	56978	3701
939	57037	3640
940	57084	3579
941	57137	3517
942	57188	3456
943	57240	3395
944	57296	3334
945	57341	3273
946	57395	3212
947	57446	3151
948	57501	3090
949	57545	3028
950	57594	2967
951	57653	2906
952	57704	2845
953	57758	2784
954	57812	2724
955	57867	2663
956	57916	2602
957	57969	2541
958	58021	2480
959	58074	2419
960	58127	2358
961	58173	2297
962	58226	2237
963	58283	2176
964	58343	2116
965	58398	2055
966	58442	1994
967	58498	1933
968	58550	1873
969	58603	1812
970	58662	1752
971	58713	1691
972	58770	1630
973	58818	1570
974	58875	1509
975	58930	1449
976	58986	1388
977	59057	1328
978	59117	1268
979	59175	1207
980	59241	1147
981	59297	1086
982	59356	1026
983	59423	966
984	59480	905
985	59540	845
986	59589	784
987	59642	724
988	59694	663
989	59746	603
990	59800	543
991	59860	482
992	59918	422
993	59965	361
994	60022	301
995	60080	241
996	60141	180
997	60197	120
998	60260	60
999	60316	0
